.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR20959676_C_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959676_C_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959677_C_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959677_C_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959678_C_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959678_C_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959680_A_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959680_A_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959681_A_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959681_A_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959682_A_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
SRR20959682_A_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
