Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR20959676_C_1	12.623112170269076	68.18236794752484
SRR20959676_C_2	6.862159747841683	71.79025488468909
SRR20959677_C_1	18.509004313297947	70.57378851313374
SRR20959677_C_2	9.521348758064345	77.70530736556493
SRR20959678_C_1	17.214504678790455	70.07862527009499
SRR20959678_C_2	10.007573797402634	74.61857705139387
SRR20959680_A_1	11.053822428726496	70.9692092517385
SRR20959680_A_2	6.402714508317107	73.9430395394865
SRR20959681_A_1	13.360258250892453	73.5516923271252
SRR20959681_A_2	7.514599414887109	77.60026023808825
SRR20959682_A_1	9.360219199332647	65.09580436427332
SRR20959682_A_2	4.365159617539922	67.21205983076081
