Module	Section	Sample Name	Source
FastQC	all_sections	SRR20959676_C_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959676_C_1_fastqc.zip
FastQC	all_sections	SRR20959676_C_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959676_C_2_fastqc.zip
FastQC	all_sections	SRR20959677_C_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959677_C_1_fastqc.zip
FastQC	all_sections	SRR20959677_C_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959677_C_2_fastqc.zip
FastQC	all_sections	SRR20959678_C_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959678_C_1_fastqc.zip
FastQC	all_sections	SRR20959678_C_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959678_C_2_fastqc.zip
FastQC	all_sections	SRR20959680_A_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959680_A_1_fastqc.zip
FastQC	all_sections	SRR20959680_A_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959680_A_2_fastqc.zip
FastQC	all_sections	SRR20959681_A_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959681_A_1_fastqc.zip
FastQC	all_sections	SRR20959681_A_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959681_A_2_fastqc.zip
FastQC	all_sections	SRR20959682_A_1	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959682_A_1_fastqc.zip
FastQC	all_sections	SRR20959682_A_2	/home/a_adegite/a_adegite/projects/pji_analysis/result/QC_report/raw_reads/SRR20959682_A_2_fastqc.zip
